R,I,A,S,E,C,carrera_id,nombre_carrera
2.56,3.29,2.02,6.99,7.58,6.18,80,Lic. en Administración de Recursos Humanos
2.58,2.34,1.75,6.31,6.46,5.63,80,Lic. en Administración de Recursos Humanos
2.21,2.74,3.09,6.97,7.82,5.67,80,Lic. en Administración de Recursos Humanos
1.51,2.5,2.25,6.43,7.59,5.65,80,Lic. en Administración de Recursos Humanos
3.57,3.66,1.67,6.92,7.18,6.01,80,Lic. en Administración de Recursos Humanos
2.08,2.66,1.79,5.79,6.41,5.84,80,Lic. en Administración de Recursos Humanos
3.96,2.24,2.75,6.99,7.07,5.69,80,Lic. en Administración de Recursos Humanos
1.54,1.9,3.06,6.26,6.97,6.02,80,Lic. en Administración de Recursos Humanos
1.65,1.79,2.71,6.23,6.81,5.58,80,Lic. en Administración de Recursos Humanos
3.06,2.72,3.03,6.87,6.66,5.49,80,Lic. en Administración de Recursos Humanos
2.35,1.98,3.67,6.56,7.75,5.66,80,Lic. en Administración de Recursos Humanos
2.53,2.78,1.85,5.81,6.48,4.98,80,Lic. en Administración de Recursos Humanos
2.24,1.82,3.32,6.88,7.25,5.27,80,Lic. en Administración de Recursos Humanos
2.69,2.04,1.69,5.82,7.19,6.18,80,Lic. en Administración de Recursos Humanos
3.65,3.4,2.9,6.94,6.83,5.79,80,Lic. en Administración de Recursos Humanos
2.44,1.64,3.88,5.87,7.8,5.29,80,Lic. en Administración de Recursos Humanos
2.91,3.23,3.61,6.98,7.67,5.45,80,Lic. en Administración de Recursos Humanos
2.52,2.22,1.71,6.68,7.2,5.67,80,Lic. en Administración de Recursos Humanos
2.64,3.08,3.95,5.93,7.87,6.03,80,Lic. en Administración de Recursos Humanos
2.38,3.98,2.19,5.87,7.72,5.54,80,Lic. en Administración de Recursos Humanos
2.45,3.76,2.66,6.66,7.57,4.99,80,Lic. en Administración de Recursos Humanos
3.01,2.91,3.82,6.34,7.75,6.22,80,Lic. en Administración de Recursos Humanos
2.67,1.97,1.8,5.61,7.02,5.99,80,Lic. en Administración de Recursos Humanos
2.59,2.22,2.05,6.5,6.64,6.1,80,Lic. en Administración de Recursos Humanos
3.34,2.08,2.96,6.37,7.12,6.09,80,Lic. en Administración de Recursos Humanos
1.9,1.55,3.81,6.86,7.79,5.24,80,Lic. en Administración de Recursos Humanos
3.57,3.44,2.3,7.05,6.87,4.82,80,Lic. en Administración de Recursos Humanos
3.76,2.15,3.67,6.64,7.27,5.81,80,Lic. en Administración de Recursos Humanos
3.15,2.36,2.25,6.5,7.79,5.49,80,Lic. en Administración de Recursos Humanos
2.1,3.01,3.82,6.82,7.3,5.59,80,Lic. en Administración de Recursos Humanos
3.38,2.6,2.21,6.33,7.29,5.4,80,Lic. en Administración de Recursos Humanos
2.87,3.51,2.44,6.74,6.67,4.81,80,Lic. en Administración de Recursos Humanos
3.29,1.84,2.41,6.79,7.63,5.14,80,Lic. en Administración de Recursos Humanos
2.48,2.63,1.7,6.87,6.52,5.68,80,Lic. en Administración de Recursos Humanos
1.58,1.54,3.31,6.41,7.32,5.51,80,Lic. en Administración de Recursos Humanos
1.62,2.02,1.65,5.8,7.19,4.84,80,Lic. en Administración de Recursos Humanos
2.37,3.02,3.21,6.42,7.48,5.96,80,Lic. en Administración de Recursos Humanos
3.61,2.61,2.24,6.78,7.3,4.96,80,Lic. en Administración de Recursos Humanos
3.73,1.71,3.7,5.78,6.88,5.22,80,Lic. en Administración de Recursos Humanos
2.64,2.13,1.6,5.94,6.85,6.1,80,Lic. en Administración de Recursos Humanos
2.81,3.92,2.59,6.86,7.17,5.1,80,Lic. en Administración de Recursos Humanos
2.92,3.27,2.19,5.69,7.37,5.28,80,Lic. en Administración de Recursos Humanos
1.54,1.53,3.67,6.54,7.76,5.62,80,Lic. en Administración de Recursos Humanos
2.33,3.96,2.05,6.01,6.53,4.94,80,Lic. en Administración de Recursos Humanos
2.95,2.47,3.06,5.84,7.75,5.94,80,Lic. en Administración de Recursos Humanos
1.75,3.14,2.77,6.03,6.55,4.81,80,Lic. en Administración de Recursos Humanos
1.8,2.4,2.32,6.75,6.56,5.94,80,Lic. en Administración de Recursos Humanos
2.39,3.51,3.73,6.38,7.4,5.32,80,Lic. en Administración de Recursos Humanos
2.22,3.92,3.1,6.53,7.02,5.95,80,Lic. en Administración de Recursos Humanos
3.81,2.58,2.26,6.68,7.75,5.91,80,Lic. en Administración de Recursos Humanos
3.23,2.12,3.28,5.46,6.94,6.95,81,Lic. en Comercio Internacional
1.8,2.33,3.22,5.39,6.86,6.98,81,Lic. en Comercio Internacional
1.98,3.18,1.7,5.1,7.05,5.86,81,Lic. en Comercio Internacional
3.64,2.26,3.92,6.15,7.05,6.4,81,Lic. en Comercio Internacional
2.88,3.06,1.56,5.5,6.57,6.45,81,Lic. en Comercio Internacional
3.19,3.46,3.97,5.27,7.44,6.52,81,Lic. en Comercio Internacional
3.05,3.4,2.85,5.62,7.19,6.71,81,Lic. en Comercio Internacional
2.72,2.88,3.39,5.37,7.15,6.73,81,Lic. en Comercio Internacional
2.77,1.72,1.63,6.21,6.86,6.09,81,Lic. en Comercio Internacional
3.54,2.71,1.53,5.05,6.61,5.67,81,Lic. en Comercio Internacional
3.45,3.75,3.83,5.68,6.53,6.99,81,Lic. en Comercio Internacional
1.82,3.47,3.22,6.12,7.65,6.82,81,Lic. en Comercio Internacional
2.69,3.08,3.06,4.93,6.81,6.84,81,Lic. en Comercio Internacional
2.34,1.57,2.09,4.95,7.57,7.05,81,Lic. en Comercio Internacional
3.95,3.91,3.5,5.07,6.62,7.07,81,Lic. en Comercio Internacional
1.64,2.0,2.92,5.36,7.14,5.84,81,Lic. en Comercio Internacional
3.52,2.58,2.88,5.39,6.84,6.81,81,Lic. en Comercio Internacional
1.65,2.13,3.78,5.42,6.52,6.21,81,Lic. en Comercio Internacional
2.39,2.8,3.73,5.71,7.8,7.09,81,Lic. en Comercio Internacional
2.55,2.47,2.76,5.06,6.87,6.82,81,Lic. en Comercio Internacional
2.52,2.16,3.83,5.95,7.11,5.84,81,Lic. en Comercio Internacional
2.86,1.97,3.64,6.24,6.91,5.91,81,Lic. en Comercio Internacional
2.97,3.02,2.53,5.66,7.32,6.02,81,Lic. en Comercio Internacional
3.75,3.29,1.64,5.54,7.45,7.09,81,Lic. en Comercio Internacional
3.83,3.91,3.05,5.69,6.74,5.73,81,Lic. en Comercio Internacional
1.9,3.97,1.98,6.15,7.27,6.21,81,Lic. en Comercio Internacional
3.15,3.38,4.0,5.67,7.58,6.07,81,Lic. en Comercio Internacional
2.38,3.87,2.31,6.18,7.28,6.41,81,Lic. en Comercio Internacional
3.75,1.71,1.83,5.7,6.94,5.86,81,Lic. en Comercio Internacional
1.93,3.2,1.55,5.34,7.09,5.7,81,Lic. en Comercio Internacional
2.88,2.91,2.13,5.32,6.56,6.46,81,Lic. en Comercio Internacional
3.65,2.9,2.18,5.24,7.14,5.98,81,Lic. en Comercio Internacional
3.73,1.62,3.29,5.55,7.4,6.87,81,Lic. en Comercio Internacional
3.37,3.87,3.51,6.1,7.6,5.9,81,Lic. en Comercio Internacional
3.04,3.0,1.52,6.17,7.5,6.53,81,Lic. en Comercio Internacional
3.45,1.56,2.3,4.81,7.18,6.11,81,Lic. en Comercio Internacional
2.45,2.26,3.38,5.9,6.81,6.0,81,Lic. en Comercio Internacional
2.69,2.3,2.55,5.5,6.94,5.74,81,Lic. en Comercio Internacional
1.84,3.08,2.72,5.61,7.01,6.88,81,Lic. en Comercio Internacional
3.87,3.84,2.53,5.83,6.7,6.34,81,Lic. en Comercio Internacional
3.4,2.43,2.29,6.28,6.81,6.32,81,Lic. en Comercio Internacional
3.99,2.59,1.97,5.2,7.24,5.93,81,Lic. en Comercio Internacional
1.81,2.45,2.5,5.37,6.92,5.86,81,Lic. en Comercio Internacional
3.94,3.8,1.74,5.14,6.47,6.92,81,Lic. en Comercio Internacional
2.1,1.59,1.6,5.57,7.69,7.1,81,Lic. en Comercio Internacional
1.76,3.16,1.72,5.05,7.46,7.1,81,Lic. en Comercio Internacional
1.96,2.99,3.28,5.82,7.3,6.9,81,Lic. en Comercio Internacional
2.04,3.77,1.62,5.47,7.48,6.34,81,Lic. en Comercio Internacional
1.55,2.62,2.16,5.47,6.98,6.67,81,Lic. en Comercio Internacional
3.35,3.85,3.84,4.97,6.73,6.96,81,Lic. en Comercio Internacional
2.49,3.98,1.59,5.19,7.38,7.02,81,Lic. en Comercio Internacional
2.91,2.03,3.5,5.18,6.71,6.26,81,Lic. en Comercio Internacional
3.88,3.04,2.24,5.12,6.64,5.62,81,Lic. en Comercio Internacional
2.3,3.88,1.59,4.9,7.11,6.08,81,Lic. en Comercio Internacional
1.52,2.29,3.54,5.92,6.52,5.65,81,Lic. en Comercio Internacional
2.58,2.97,3.35,5.86,7.3,6.69,81,Lic. en Comercio Internacional
3.54,1.84,2.51,5.77,7.18,6.63,81,Lic. en Comercio Internacional
1.53,2.06,3.35,5.08,7.38,6.07,81,Lic. en Comercio Internacional
3.49,3.97,3.17,6.04,7.59,6.63,81,Lic. en Comercio Internacional
2.84,3.34,1.62,6.07,7.54,6.38,81,Lic. en Comercio Internacional
2.01,2.02,3.68,5.45,7.86,6.87,81,Lic. en Comercio Internacional
2.87,3.04,3.54,5.33,7.64,6.21,81,Lic. en Comercio Internacional
3.21,3.75,3.14,5.49,7.84,5.72,81,Lic. en Comercio Internacional
3.49,3.25,2.02,5.84,6.92,7.07,81,Lic. en Comercio Internacional
2.94,2.46,1.7,4.83,7.03,6.53,81,Lic. en Comercio Internacional
1.96,1.68,1.58,5.93,7.14,6.26,81,Lic. en Comercio Internacional
1.54,3.73,1.72,5.93,6.75,6.33,81,Lic. en Comercio Internacional
2.0,2.78,1.68,6.25,7.65,6.55,81,Lic. en Comercio Internacional
2.11,1.9,1.68,5.41,7.48,5.92,81,Lic. en Comercio Internacional
2.83,3.21,3.01,5.51,6.74,7.06,81,Lic. en Comercio Internacional
2.77,1.91,3.05,5.86,7.11,6.18,81,Lic. en Comercio Internacional
2.4,3.26,2.75,4.93,7.15,5.84,81,Lic. en Comercio Internacional
2.4,1.77,3.78,6.22,6.47,7.08,81,Lic. en Comercio Internacional
1.87,1.8,1.98,5.62,7.83,6.65,81,Lic. en Comercio Internacional
1.93,1.92,3.63,5.0,6.65,6.42,81,Lic. en Comercio Internacional
3.17,2.13,2.82,5.88,6.8,6.22,81,Lic. en Comercio Internacional
3.63,3.91,2.94,5.86,6.57,5.87,81,Lic. en Comercio Internacional
2.0,2.89,3.29,5.25,6.58,6.28,81,Lic. en Comercio Internacional
3.01,3.68,3.32,5.39,6.6,5.82,81,Lic. en Comercio Internacional
1.59,2.98,3.07,6.22,7.62,6.81,81,Lic. en Comercio Internacional
1.77,1.75,2.09,5.36,7.36,6.87,81,Lic. en Comercio Internacional
2.96,2.35,1.53,6.3,7.15,6.6,81,Lic. en Comercio Internacional
1.52,2.22,3.71,5.44,6.91,6.89,81,Lic. en Comercio Internacional
2.38,2.57,2.67,5.12,6.7,5.97,81,Lic. en Comercio Internacional
2.91,3.16,3.77,4.93,7.29,6.49,81,Lic. en Comercio Internacional
3.98,3.68,2.84,5.09,7.78,6.05,81,Lic. en Comercio Internacional
3.87,2.08,2.79,4.84,6.67,5.63,81,Lic. en Comercio Internacional
1.72,2.39,1.88,6.1,7.06,6.46,81,Lic. en Comercio Internacional
3.95,1.67,3.38,5.71,7.62,6.16,81,Lic. en Comercio Internacional
1.55,3.52,3.74,5.31,6.76,6.75,81,Lic. en Comercio Internacional
3.11,3.13,2.31,4.81,6.8,5.84,81,Lic. en Comercio Internacional
1.75,3.96,3.7,6.1,7.0,6.9,81,Lic. en Comercio Internacional
2.67,3.41,3.26,5.19,6.69,6.29,81,Lic. en Comercio Internacional
3.39,1.65,1.93,6.16,6.85,6.03,81,Lic. en Comercio Internacional
3.81,2.48,3.33,5.07,6.45,6.23,81,Lic. en Comercio Internacional
3.6,1.64,2.56,5.59,7.63,5.77,81,Lic. en Comercio Internacional
3.43,3.55,2.31,6.17,7.35,6.43,81,Lic. en Comercio Internacional
2.45,1.73,3.96,5.21,7.42,6.01,81,Lic. en Comercio Internacional
2.75,2.72,2.71,5.48,6.95,5.97,81,Lic. en Comercio Internacional
3.99,2.34,2.48,6.0,6.73,6.61,81,Lic. en Comercio Internacional
2.34,1.94,3.15,5.88,6.31,7.75,82,Lic. en Contaduría Pública
3.17,3.72,4.0,6.09,5.63,7.66,82,Lic. en Contaduría Pública
2.38,2.81,3.81,5.09,7.04,6.97,82,Lic. en Contaduría Pública
1.8,3.37,2.94,6.01,6.82,7.18,82,Lic. en Contaduría Pública
2.98,3.71,2.81,5.1,6.93,7.73,82,Lic. en Contaduría Pública
3.35,2.59,2.51,6.05,6.19,6.43,82,Lic. en Contaduría Pública
2.19,1.58,3.32,4.92,6.96,7.73,82,Lic. en Contaduría Pública
1.68,3.47,3.62,5.01,6.24,6.66,82,Lic. en Contaduría Pública
3.41,2.01,2.8,6.11,6.9,6.57,82,Lic. en Contaduría Pública
3.9,2.54,3.4,5.63,6.81,7.81,82,Lic. en Contaduría Pública
2.0,3.23,3.11,6.12,6.92,7.63,82,Lic. en Contaduría Pública
2.17,1.69,3.59,5.62,5.73,7.76,82,Lic. en Contaduría Pública
1.92,2.53,3.45,4.96,6.84,6.44,82,Lic. en Contaduría Pública
2.75,3.99,3.66,5.4,5.82,6.98,82,Lic. en Contaduría Pública
2.5,3.34,3.02,6.15,6.24,7.86,82,Lic. en Contaduría Pública
3.87,1.65,1.75,5.4,5.61,6.62,82,Lic. en Contaduría Pública
2.16,3.52,1.63,5.77,6.18,7.34,82,Lic. en Contaduría Pública
3.69,3.21,2.76,5.85,6.86,7.25,82,Lic. en Contaduría Pública
3.94,3.6,2.76,5.29,5.75,6.76,82,Lic. en Contaduría Pública
2.39,2.2,2.42,6.11,5.77,7.89,82,Lic. en Contaduría Pública
2.47,2.58,3.31,6.12,6.32,6.85,82,Lic. en Contaduría Pública
3.72,3.41,3.14,5.88,5.99,7.28,82,Lic. en Contaduría Pública
3.9,1.95,3.84,5.13,6.18,7.51,82,Lic. en Contaduría Pública
2.57,3.9,1.79,4.87,5.85,6.48,82,Lic. en Contaduría Pública
2.31,3.82,2.48,5.74,6.39,7.46,82,Lic. en Contaduría Pública
3.82,3.89,2.23,5.26,6.07,6.64,82,Lic. en Contaduría Pública
3.88,3.08,1.63,4.88,6.67,7.13,82,Lic. en Contaduría Pública
2.48,2.72,2.81,5.03,5.7,7.69,82,Lic. en Contaduría Pública
2.67,3.84,3.1,5.54,6.57,7.51,82,Lic. en Contaduría Pública
2.31,1.97,2.98,4.92,6.45,6.43,82,Lic. en Contaduría Pública
2.82,3.03,2.89,5.42,6.26,7.72,82,Lic. en Contaduría Pública
3.43,2.48,1.87,5.87,5.97,7.16,82,Lic. en Contaduría Pública
1.77,3.76,2.38,4.94,5.64,6.45,82,Lic. en Contaduría Pública
1.97,3.4,3.79,5.19,5.85,7.21,82,Lic. en Contaduría Pública
2.76,3.77,3.08,5.54,6.22,7.51,82,Lic. en Contaduría Pública
2.77,3.91,3.43,4.95,7.01,7.27,82,Lic. en Contaduría Pública
1.73,2.55,2.16,5.53,6.05,7.2,82,Lic. en Contaduría Pública
2.32,3.1,1.55,6.09,6.13,7.37,82,Lic. en Contaduría Pública
3.21,1.89,3.76,5.96,6.63,7.8,82,Lic. en Contaduría Pública
1.66,2.47,1.76,5.44,6.32,7.57,82,Lic. en Contaduría Pública
3.33,1.7,3.87,5.43,6.68,7.04,82,Lic. en Contaduría Pública
1.78,3.49,3.19,6.18,5.93,7.21,82,Lic. en Contaduría Pública
3.92,2.07,3.81,5.37,6.15,7.07,82,Lic. en Contaduría Pública
1.64,2.32,2.76,5.18,6.44,7.28,82,Lic. en Contaduría Pública
2.34,3.03,1.75,6.25,7.05,6.94,82,Lic. en Contaduría Pública
2.22,3.48,3.41,5.11,6.08,7.48,82,Lic. en Contaduría Pública
2.59,2.1,2.44,5.06,6.92,7.65,82,Lic. en Contaduría Pública
1.75,3.5,1.88,5.65,5.99,7.78,82,Lic. en Contaduría Pública
2.31,1.71,2.96,5.38,5.61,7.01,82,Lic. en Contaduría Pública
2.9,3.93,1.53,6.03,6.02,7.8,82,Lic. en Contaduría Pública
2.55,1.7,3.89,4.87,6.06,6.99,82,Lic. en Contaduría Pública
2.93,3.01,2.55,5.88,6.15,7.42,82,Lic. en Contaduría Pública
3.02,2.38,3.46,5.61,5.81,7.18,82,Lic. en Contaduría Pública
1.59,1.77,1.52,5.23,6.13,7.69,82,Lic. en Contaduría Pública
2.91,2.8,3.16,5.71,6.79,7.45,82,Lic. en Contaduría Pública
2.9,3.19,3.85,6.04,7.09,7.23,82,Lic. en Contaduría Pública
3.59,1.69,1.98,5.0,6.0,7.37,82,Lic. en Contaduría Pública
1.65,2.48,3.81,5.13,6.48,7.38,82,Lic. en Contaduría Pública
2.65,2.89,2.56,5.13,6.66,7.85,82,Lic. en Contaduría Pública
1.69,1.53,3.07,5.91,6.85,6.99,82,Lic. en Contaduría Pública
2.18,2.89,2.5,5.15,6.2,6.66,82,Lic. en Contaduría Pública
3.66,3.32,3.06,5.69,6.55,6.83,82,Lic. en Contaduría Pública
1.89,2.28,3.85,5.61,6.32,7.47,82,Lic. en Contaduría Pública
2.41,3.46,2.49,5.45,6.79,7.67,82,Lic. en Contaduría Pública
2.04,2.24,3.73,6.19,7.08,6.45,82,Lic. en Contaduría Pública
1.54,2.06,3.28,5.55,6.98,7.72,82,Lic. en Contaduría Pública
3.5,3.45,3.89,5.69,6.73,7.37,82,Lic. en Contaduría Pública
2.59,3.28,3.25,5.5,6.8,7.29,82,Lic. en Contaduría Pública
2.51,1.84,2.81,5.54,7.07,6.68,82,Lic. en Contaduría Pública
3.94,2.4,2.86,6.26,6.4,7.5,82,Lic. en Contaduría Pública
3.87,1.88,2.4,5.72,7.05,6.61,82,Lic. en Contaduría Pública
3.32,3.29,3.55,5.09,6.9,7.56,82,Lic. en Contaduría Pública
3.39,1.63,3.06,5.76,5.64,6.44,82,Lic. en Contaduría Pública
2.18,3.37,3.54,5.45,5.96,7.76,82,Lic. en Contaduría Pública
3.39,3.51,2.63,5.48,6.72,6.64,82,Lic. en Contaduría Pública
3.42,2.4,2.12,6.25,6.55,7.15,82,Lic. en Contaduría Pública
2.21,2.88,1.67,4.83,5.97,7.83,82,Lic. en Contaduría Pública
3.71,1.59,2.65,5.8,6.26,6.87,82,Lic. en Contaduría Pública
2.22,2.66,2.4,5.42,6.93,6.97,82,Lic. en Contaduría Pública
3.64,3.99,2.53,4.8,6.56,7.27,82,Lic. en Contaduría Pública
2.92,2.54,2.83,6.26,5.72,7.68,82,Lic. en Contaduría Pública
1.71,1.71,3.8,4.88,5.95,7.43,82,Lic. en Contaduría Pública
2.65,2.36,3.57,6.19,6.34,6.48,82,Lic. en Contaduría Pública
2.98,3.92,3.07,5.89,5.65,6.84,82,Lic. en Contaduría Pública
3.51,2.48,3.28,5.76,5.81,7.81,82,Lic. en Contaduría Pública
3.51,3.28,2.08,5.07,6.33,6.84,82,Lic. en Contaduría Pública
1.58,2.1,3.54,5.69,6.08,7.49,82,Lic. en Contaduría Pública
3.61,2.74,2.06,5.43,6.58,7.31,82,Lic. en Contaduría Pública
3.87,3.43,3.42,5.45,5.93,7.29,82,Lic. en Contaduría Pública
3.48,2.71,2.79,5.27,7.09,7.18,82,Lic. en Contaduría Pública
3.37,3.72,2.96,5.43,5.86,7.53,82,Lic. en Contaduría Pública
3.87,1.7,3.32,6.15,6.33,7.9,82,Lic. en Contaduría Pública
2.13,2.0,1.65,5.46,6.3,6.57,82,Lic. en Contaduría Pública
1.98,3.19,1.72,5.15,6.39,6.62,82,Lic. en Contaduría Pública
3.33,3.41,2.59,6.27,6.99,7.72,82,Lic. en Contaduría Pública
3.4,3.41,1.79,5.04,6.01,6.98,82,Lic. en Contaduría Pública
1.51,3.9,2.71,5.02,5.7,7.05,82,Lic. en Contaduría Pública
2.14,3.8,3.8,6.29,5.87,6.95,82,Lic. en Contaduría Pública
2.15,2.37,1.54,5.72,7.07,6.87,82,Lic. en Contaduría Pública
2.02,3.91,1.78,6.29,5.81,7.11,82,Lic. en Contaduría Pública
3.42,1.64,3.71,5.63,7.45,6.69,83,Lic. en Desarrollo Empresarial y de Negocios
1.98,3.52,3.64,4.82,7.4,5.78,83,Lic. en Desarrollo Empresarial y de Negocios
3.45,3.99,2.86,6.09,7.08,5.74,83,Lic. en Desarrollo Empresarial y de Negocios
3.6,2.48,1.82,5.77,7.05,6.17,83,Lic. en Desarrollo Empresarial y de Negocios
2.36,3.92,2.66,5.52,6.44,5.97,83,Lic. en Desarrollo Empresarial y de Negocios
3.34,2.14,2.32,6.2,7.49,6.64,83,Lic. en Desarrollo Empresarial y de Negocios
1.76,3.31,2.0,5.81,7.64,6.96,83,Lic. en Desarrollo Empresarial y de Negocios
3.52,2.86,2.86,6.12,7.74,7.09,83,Lic. en Desarrollo Empresarial y de Negocios
2.97,2.41,3.09,5.54,6.5,5.81,83,Lic. en Desarrollo Empresarial y de Negocios
2.82,3.21,1.96,5.81,7.63,5.97,83,Lic. en Desarrollo Empresarial y de Negocios
1.95,3.23,3.98,5.59,7.76,6.26,83,Lic. en Desarrollo Empresarial y de Negocios
3.52,1.68,2.75,5.23,7.48,6.73,83,Lic. en Desarrollo Empresarial y de Negocios
1.92,3.39,2.36,5.91,6.72,5.85,83,Lic. en Desarrollo Empresarial y de Negocios
1.91,3.67,3.51,5.14,7.09,6.03,83,Lic. en Desarrollo Empresarial y de Negocios
3.69,2.3,3.46,5.11,6.9,6.26,83,Lic. en Desarrollo Empresarial y de Negocios
2.68,3.19,2.9,6.19,7.61,5.84,83,Lic. en Desarrollo Empresarial y de Negocios
2.52,2.09,2.19,5.94,7.45,6.17,83,Lic. en Desarrollo Empresarial y de Negocios
3.76,2.1,3.61,4.92,7.41,5.62,83,Lic. en Desarrollo Empresarial y de Negocios
2.4,2.81,3.91,5.75,7.8,6.99,83,Lic. en Desarrollo Empresarial y de Negocios
2.28,3.84,2.25,5.67,7.75,6.23,83,Lic. en Desarrollo Empresarial y de Negocios
2.3,1.76,2.0,5.33,6.98,6.53,83,Lic. en Desarrollo Empresarial y de Negocios
1.85,2.4,3.47,5.49,6.79,6.6,83,Lic. en Desarrollo Empresarial y de Negocios
2.94,3.12,3.34,6.05,7.88,7.06,83,Lic. en Desarrollo Empresarial y de Negocios
3.46,1.97,2.08,5.5,7.88,6.52,83,Lic. en Desarrollo Empresarial y de Negocios
1.83,1.52,3.85,5.8,7.21,5.77,83,Lic. en Desarrollo Empresarial y de Negocios
3.6,1.79,1.64,4.94,7.44,6.58,83,Lic. en Desarrollo Empresarial y de Negocios
3.58,2.69,2.11,5.17,7.66,6.72,83,Lic. en Desarrollo Empresarial y de Negocios
2.54,3.41,2.94,4.82,6.79,5.97,83,Lic. en Desarrollo Empresarial y de Negocios
3.46,3.83,2.83,6.21,6.9,6.35,83,Lic. en Desarrollo Empresarial y de Negocios
1.76,2.58,3.84,4.91,6.53,5.94,83,Lic. en Desarrollo Empresarial y de Negocios
2.12,3.88,3.28,5.45,7.09,6.54,83,Lic. en Desarrollo Empresarial y de Negocios
3.17,2.04,2.47,5.71,6.81,7.07,83,Lic. en Desarrollo Empresarial y de Negocios
3.27,3.52,3.84,5.01,6.8,6.31,83,Lic. en Desarrollo Empresarial y de Negocios
2.36,3.81,3.61,5.13,7.24,6.03,83,Lic. en Desarrollo Empresarial y de Negocios
1.88,3.58,3.8,5.38,6.63,6.5,83,Lic. en Desarrollo Empresarial y de Negocios
2.97,3.77,2.3,6.13,7.4,6.61,83,Lic. en Desarrollo Empresarial y de Negocios
2.41,1.74,2.27,5.86,7.45,5.84,83,Lic. en Desarrollo Empresarial y de Negocios
2.26,3.6,1.82,5.01,7.72,5.99,83,Lic. en Desarrollo Empresarial y de Negocios
2.17,1.99,3.36,5.42,7.56,6.65,83,Lic. en Desarrollo Empresarial y de Negocios
2.43,2.25,3.15,5.68,7.53,6.33,83,Lic. en Desarrollo Empresarial y de Negocios
2.65,2.32,2.13,5.02,6.7,5.6,83,Lic. en Desarrollo Empresarial y de Negocios
2.94,2.37,3.26,5.09,6.96,6.56,83,Lic. en Desarrollo Empresarial y de Negocios
3.39,2.8,1.61,4.94,7.84,5.82,83,Lic. en Desarrollo Empresarial y de Negocios
1.73,3.06,2.04,5.61,6.77,6.15,83,Lic. en Desarrollo Empresarial y de Negocios
3.91,2.65,3.34,6.22,6.57,6.48,83,Lic. en Desarrollo Empresarial y de Negocios
3.79,2.75,3.94,5.64,6.9,6.96,83,Lic. en Desarrollo Empresarial y de Negocios
2.45,3.49,2.91,5.1,7.34,6.29,83,Lic. en Desarrollo Empresarial y de Negocios
3.56,1.82,1.58,5.83,7.05,6.48,83,Lic. en Desarrollo Empresarial y de Negocios
3.4,2.06,1.54,5.95,6.9,6.87,83,Lic. en Desarrollo Empresarial y de Negocios
2.18,2.64,3.16,4.98,6.59,6.6,83,Lic. en Desarrollo Empresarial y de Negocios
2.01,3.73,2.18,5.08,7.53,6.11,83,Lic. en Desarrollo Empresarial y de Negocios
3.56,3.14,2.95,5.25,6.78,5.61,83,Lic. en Desarrollo Empresarial y de Negocios
2.4,2.9,1.87,6.21,6.74,6.56,83,Lic. en Desarrollo Empresarial y de Negocios
3.21,3.98,2.56,5.01,7.21,6.35,83,Lic. en Desarrollo Empresarial y de Negocios
1.66,1.97,2.78,5.56,7.63,6.54,83,Lic. en Desarrollo Empresarial y de Negocios
3.35,3.84,1.72,5.54,7.01,6.1,83,Lic. en Desarrollo Empresarial y de Negocios
3.44,3.22,3.68,5.81,7.21,7.02,83,Lic. en Desarrollo Empresarial y de Negocios
3.22,2.84,1.85,6.22,7.7,6.62,83,Lic. en Desarrollo Empresarial y de Negocios
1.96,2.61,3.74,5.17,7.62,6.21,83,Lic. en Desarrollo Empresarial y de Negocios
3.15,2.86,1.56,5.34,7.09,6.33,83,Lic. en Desarrollo Empresarial y de Negocios
2.04,2.08,2.5,5.15,7.59,6.56,83,Lic. en Desarrollo Empresarial y de Negocios
2.78,3.39,1.51,5.77,7.61,6.39,83,Lic. en Desarrollo Empresarial y de Negocios
3.59,2.64,2.89,6.23,6.7,7.06,83,Lic. en Desarrollo Empresarial y de Negocios
2.82,2.06,1.82,5.46,7.2,7.07,83,Lic. en Desarrollo Empresarial y de Negocios
2.73,1.61,3.36,6.02,6.75,6.92,83,Lic. en Desarrollo Empresarial y de Negocios
2.11,3.03,2.78,5.88,7.2,5.91,83,Lic. en Desarrollo Empresarial y de Negocios
3.82,3.08,1.57,4.97,6.97,5.66,83,Lic. en Desarrollo Empresarial y de Negocios
3.57,1.85,2.67,4.83,7.63,6.72,83,Lic. en Desarrollo Empresarial y de Negocios
1.8,3.54,3.76,5.07,6.94,6.8,83,Lic. en Desarrollo Empresarial y de Negocios
3.41,3.54,3.87,5.39,7.16,7.06,83,Lic. en Desarrollo Empresarial y de Negocios
2.3,3.82,2.3,5.25,7.84,6.97,83,Lic. en Desarrollo Empresarial y de Negocios
2.49,2.73,3.54,5.02,6.87,6.23,83,Lic. en Desarrollo Empresarial y de Negocios
2.79,2.42,2.39,5.06,6.49,6.28,83,Lic. en Desarrollo Empresarial y de Negocios
2.41,1.54,2.18,5.27,7.7,6.41,83,Lic. en Desarrollo Empresarial y de Negocios
2.94,3.59,2.57,6.17,6.77,5.94,83,Lic. en Desarrollo Empresarial y de Negocios
1.64,3.23,3.46,5.32,6.81,5.76,83,Lic. en Desarrollo Empresarial y de Negocios
3.04,2.48,3.17,6.0,6.71,5.97,83,Lic. en Desarrollo Empresarial y de Negocios
